time_ms,curve_1,curve_2,curve_3,curve_4,curve_5,curve_6,curve_7,curve_8,curve_9,curve_10
29,-170.96003135912116,-179.22711392104227,-204.3101356550099,-209.0177765904919,-214.26414024688816,-168.69095333046027,-193.30168002873356,-200.60618130976303,-208.14318833299964,-203.77728666490603
30,-171.0348056799253,-179.06859090832933,-204.37388022750991,-208.61904867021562,-213.69172765694125,-169.1534186379191,-193.28495594977855,-201.080328186275,-207.93651982736426,-202.6595091757201
31,-170.66611700244704,-179.25469059016518,-204.1667618547093,-208.13440118905586,-213.62569192328522,-169.16500053762766,-193.18644952217625,-200.86468595980315,-207.78455474658247,-203.0313882423749
32,-170.54555860687083,-179.49717671333926,-204.4114961145698,-208.4540012924206,-213.8104821574648,-169.60353201661803,-193.55947645641285,-200.70235415749718,-207.93331151488658,-202.46570838835203
33,-170.8755107522377,-179.35087174000137,-204.03463826639583,-208.34920384004403,-213.5239927356341,-170.79681814919508,-193.77406528199046,-200.70577677246453,-207.9705879807123,-202.4505311876175
34,-171.4262139653674,-179.8077073525154,-203.84825071414966,-207.99944840686106,-213.74836528479332,-171.02067603624567,-193.35138121337764,-200.64713557179402,-207.7442604547795,-202.64085289508722
35,-171.9458369150203,-179.57277399340126,-203.51279749523366,-208.18603719010267,-214.21650893049795,-171.09119358086747,-193.51208015322635,-200.3736637503837,-207.77327635813566,-202.77758840669696
36,-172.14367137711267,-179.8503470671252,-203.85247881842145,-207.8429339477699,-214.816323297977,-171.33857519671056,-194.2108989710214,-200.4315081979161,-207.53304814611457,-202.51419919407024
37,-172.15424352686372,-179.741905074979,-203.84571897977256,-208.32052494607478,-214.73877016129737,-171.4026867522842,-194.51062878799235,-200.61356681469618,-207.12675080501828,-202.12657065852858
38,-172.37593058986275,-179.58834343257396,-203.97406009028276,-208.35335749096134,-214.71868831250146,-171.60611038384047,-194.7598625859733,-200.26709677044374,-207.1383464267352,-201.8507799122246
39,-172.34852925404311,-179.19088533335193,-203.29994834716393,-208.29926815038658,-214.12854698240446,-171.34195789227968,-194.68775057025252,-199.6796010044739,-207.1310542047225,-202.20242743521092
40,-172.49108491401833,-179.54764323873036,-203.16957769074966,-208.79124689023797,-214.52863593179194,-171.94350875060587,-193.55810237760352,-199.98284697238282,-207.26633282018463,-201.92540562376652
41,-172.57702026990307,-179.06381525401778,-202.86811469441915,-209.125916960129,-214.45657996351235,-171.47106148789115,-193.7641297634339,-198.74866097096242,-206.94824394263551,-201.43208761509808
42,-173.14289093242954,-178.93953515456627,-202.7269344746054,-209.22113483726747,-213.959462947959,-171.445923558364,-194.09036986181684,-198.958900910447,-207.34473407374793,-200.8989703711264
43,-173.49935160039666,-178.7110180676408,-202.48592982063406,-209.5065056397424,-213.55848291218632,-171.22845564284657,-194.03222949620076,-199.1939231096513,-207.26455847072373,-200.82248199936612
44,-173.6292813497507,-178.45673423077602,-201.64706685562072,-209.34338191002584,-213.70473649341983,-171.09357717141637,-193.8597471126132,-198.85072824030684,-206.74989778944118,-200.98792312510867
45,-173.31190103805378,-177.9848383840908,-201.5498481432296,-209.63923294787804,-213.6964068890469,-171.02439348422357,-193.33821325792115,-198.18745547792986,-206.000622568632,-200.87921623808572
46,-173.37008705617453,-177.51950552854515,-201.5124917123431,-209.3144658208368,-213.6133581407942,-171.00762058957076,-192.9118983060618,-198.79864024105984,-205.87672702739764,-200.80745038813623
47,-173.5307470669331,-177.59542434256167,-201.42082035509725,-208.87500401278092,-213.69746504019525,-170.79328457357457,-192.5359403896784,-198.83440068882012,-205.90535126505307,-200.96198950961576
48,-173.585401100215,-177.93698670582816,-201.4322871096586,-209.06400593576794,-213.90502133324713,-170.5757129792554,-192.2610366103486,-198.46136436109887,-205.4050093763065,-201.00742995143213
49,-173.60181910270657,-178.14034818689663,-202.01257502561592,-209.40890679039228,-213.14099367146997,-170.99674058373796,-192.11924217523645,-198.6393821270399,-205.45978604886957,-200.46978857727274
50,-173.17890856490652,-177.97491814368135,-202.457518447682,-209.3823913510587,-213.3341106985888,-170.980164536678,-192.11355864079923,-198.51453164233592,-205.75660889033853,-200.02740787780178
51,-172.95961488731956,-178.54365724199076,-202.67495468591937,-208.8058247210019,-213.1158907146746,-170.62023963203384,-192.14792059767223,-198.21995224033822,-206.4507991783202,-200.65231595667746
52,-172.55644107137726,-178.41424585162315,-202.9841794192665,-208.87588037666438,-212.7662748548261,-170.175786140647,-192.9442399996793,-198.3312171064395,-206.30942473579324,-200.59274324718123
53,-172.02751097882893,-179.04037392482266,-202.81847660277472,-208.85773747334912,-212.32202590898694,-170.1801321829308,-192.99804416265658,-198.62775791871135,-206.49529885800348,-201.07208460367752
54,-172.3051711689252,-179.0143344349365,-203.17303620245818,-209.3795445588928,-212.3808654722219,-170.28431684423265,-193.39587114087018,-198.87646070540552,-206.18030843857235,-201.4037291544621
55,-172.7987763436634,-179.40427602460437,-203.6926294176693,-208.6327136788343,-211.87397364967887,-169.78224784906624,-193.70706386685012,-199.2596663889758,-205.82546207503395,-202.2123250832818
56,-172.64480984895647,-179.6878992042222,-204.24784661239582,-208.4617997856402,-211.9482577643829,-170.18465714792768,-194.1873419258049,-199.02676546277849,-205.84769384436913,-202.13678172321883
57,-172.4609605720571,-179.71847903986622,-203.888427830944,-208.172885628327,-210.77497203914214,-170.40026844961884,-194.20523175034717,-199.3979794887002,-205.65455397738037,-202.51065503919125
58,-172.35323582197873,-179.40502316237047,-203.5500437576581,-208.53127377615428,-210.66980114341686,-170.39691132168508,-194.05561870743827,-199.3566425964944,-205.32906240653784,-202.595298747697
59,-171.99027496803708,-180.01282964476124,-203.70546521655064,-208.36449994093599,-210.94296698509402,-170.21133518805414,-193.6664260001675,-199.41815218492317,-205.2345119024644,-202.28649117689622
60,-172.39393242980617,-180.3039758543975,-203.42280116977906,-208.47385298430945,-211.1813996071587,-170.69931687210226,-193.91157797418575,-199.11270260915373,-205.13511380182374,-202.36298653756876
61,-171.40555867417942,-180.92378002763928,-203.38876070676073,-208.42936566136967,-211.8896039328227,-170.05827442924362,-194.01611797041372,-198.77788559751755,-205.28863896518124,-203.18304799479398
62,-171.65448632270784,-180.89603126070367,-203.45202720938258,-208.4723981369903,-212.3156469518784,-170.81454997883068,-193.79147907746017,-198.7133139012517,-204.76345358088662,-202.61496397699636
63,-172.16525108285325,-180.57090858763942,-203.72127278710678,-208.65340767543913,-212.72759801248262,-171.49250530325637,-194.0925309198497,-198.69381239699715,-205.19774630600884,-202.85285286814207
64,-171.96951962103265,-180.31169440225557,-203.90906342238677,-208.77744020690332,-213.32304273416338,-171.02646295817453,-193.49704925852203,-198.9957148540732,-205.24158212978898,-202.91807852628995
65,-172.1851823706513,-180.47716519833466,-203.85858849313303,-208.82216485423592,-213.91531566547513,-171.2224675393036,-193.6077442973839,-199.21814002838846,-205.5341677527449,-202.83361520628628
66,-172.10873204526263,-180.8777400102341,-204.0488511010519,-209.22040283116417,-213.72105140975833,-171.3414185890248,-193.7037932689903,-198.9794269814415,-205.94746543887234,-202.48181389553602
67,-171.60313839788094,-180.99151932874702,-203.46077090004266,-209.65378581616517,-213.61649348488845,-171.21353534114994,-193.59467718898154,-198.75001507600385,-205.7353078465104,-202.10213279278102
68,-171.77022717167338,-181.4543667252439,-203.54566745128054,-209.44101100532666,-213.49544410800968,-171.05510254324054,-193.33509518958542,-198.01248495223626,-205.9064357133795,-202.4709084228971
69,-171.04410526024475,-181.64122914891342,-202.82177889850726,-209.47667049353214,-213.93660156745986,-171.28027633102604,-192.99689798848175,-197.6211254641812,-206.13556266875548,-202.22823630775093
70,-171.66400171200655,-181.59390556017865,-202.76876064992166,-209.87537718571818,-214.67834348844565,-171.1202310318941,-192.50239011641386,-197.50915897776395,-206.3509372796436,-201.35802585206127
71,-171.48594813461744,-181.58678799877924,-202.86813532886816,-209.7840540441698,-214.4584611910816,-170.42958731374728,-193.20606331594675,-197.33691129059054,-206.1779737130222,-200.91739296487074
72,-171.64604355334836,-181.49400653882174,-202.4807371756586,-209.7136727220741,-214.34102400576901,-170.13985917788207,-192.59367900473902,-197.64877100955036,-206.74076731558964,-201.62279554541703
73,-171.8163938671202,-180.7906227454789,-202.5525891539097,-209.23257476035184,-213.98414039271054,-170.03389799247566,-192.13303551589232,-197.3989590885158,-206.7165184642834,-201.538191355417
74,-171.80963017860813,-180.82338270570705,-202.37399622285864,-209.11275791424686,-214.90500852527705,-169.47724293732068,-192.09697387599584,-197.09497189702043,-206.83466339241966,-201.88975586360806
75,-171.41833549429,-180.7267791866442,-203.07425076105494,-208.84949825615135,-214.87373624947983,-169.27546195378213,-191.56692135524958,-196.97347104266254,-206.8047809076527,-201.58769093142394
76,-171.99963205590282,-180.84457363049555,-203.02881418043734,-208.276406020884,-214.9091548561837,-169.2134393880148,-191.60038532805333,-197.27500981243816,-206.45994528402255,-201.34019854034156
77,-172.56992480229977,-180.8155502371339,-203.58193660874667,-208.2239602592208,-215.13720893457952,-168.6431218518635,-191.77921808366355,-197.57596804777245,-206.07165559228895,-201.54579870500234
78,-172.20708839871034,-180.5651796779968,-204.2326093084415,-208.5774313799941,-214.5228563432191,-168.65477566224178,-192.2994917305122,-197.07022975124318,-205.85197288721264,-201.63822004251034
79,-172.05092949280706,-180.16929397955982,-204.1303474638324,-208.24913021730043,-214.25052142004705,-168.43925835586472,-192.1920647961539,-197.58915225594512,-206.4444395886607,-201.3918704778505
80,-171.4881945157989,-180.03655330248796,-204.01639785075295,-207.30858386754613,-214.51970429458913,-168.16500373862672,-192.25923502367002,-196.82006403770697,-207.1417067661023,-201.44221020121608
81,-171.7990923254657,-180.52299530705986,-204.24488679964915,-206.74994977926906,-214.9304599268577,-167.6364498067675,-192.45425453296957,-197.32253784771126,-207.28960875569902,-202.38405279274568
82,-172.00808158447452,-180.83396193174323,-204.16814036645366,-206.7247728638049,-214.67689986756957,-167.8300730170469,-192.7221943683449,-197.6002126554437,-207.28583517548796,-202.56215785550114
83,-172.26775274540938,-181.13966356712777,-203.90053006369354,-206.60149610995325,-214.50309119835822,-168.27380614199413,-193.54448169247917,-197.62637750242914,-207.75084477606484,-202.49527399223956
84,-172.6184093284807,-180.6121124539983,-203.7109350239502,-207.05801241846407,-214.09390398439888,-168.41115555959672,-194.24118901215553,-197.88626837006368,-207.57022147048355,-202.43683354722685
85,-173.02505788514344,-181.0138719745138,-203.87574907198987,-206.5689654318982,-213.71948830737338,-168.42608301590553,-194.50522751114852,-198.22639665718063,-207.6075289644828,-202.48056845782568
86,-172.40453364613973,-180.25061412566902,-203.25531269170705,-206.51973326800152,-213.48479544456285,-168.48879422193136,-194.198982242098,-197.8308179772864,-206.98452773786732,-201.7704611601566
87,-172.0205025522693,-179.43262041854337,-202.58648303333152,-206.36476119868612,-212.62375843552883,-168.03360772832312,-193.522421007403,-197.62059817321702,-206.03430802297612,-200.837556018826
88,-171.15708672094618,-178.64342009038904,-202.03539475974236,-206.005413837494,-212.34394276044426,-167.1945880001253,-192.47881121701147,-197.0418885626529,-205.61774222937566,-200.1944138687377
89,-170.3589324620966,-177.647545733793,-201.98477424561332,-205.59165451911065,-211.66708872460316,-166.69151598044894,-191.97190983419318,-196.4195835379926,-205.28461632977871,-199.52381820987281
90,-170.2807528469405,-176.43405613452967,-201.51871943981072,-205.25077753294906,-210.71593536678122,-166.9251330412659,-191.35698490115016,-195.82400735211203,-204.46212802571222,-199.58781870406406
91,-169.77772493789132,-175.71916322466416,-201.5257177850266,-205.06448054187717,-210.1664613329794,-166.5008517464447,-190.7975728110559,-195.8208056714664,-203.97339352902054,-199.34310412643475
92,-170.0481224463981,-175.57085552109478,-201.73549885475907,-205.0526994941141,-210.03100584450272,-167.22247863241915,-190.76462484013203,-195.6562954836284,-203.6564238634839,-198.6757821915031
93,-170.08075931143298,-175.89432145200055,-202.01156569634298,-205.85839566586927,-210.36245577124564,-167.57889355078945,-191.19536871135674,-196.55619748574003,-204.0519789768156,-199.07836950552078
94,-170.0292149666649,-176.98691298794859,-202.1786203737352,-206.17722306046846,-210.2851189232585,-168.14339540663377,-191.5303294576449,-197.95206369997805,-204.01641290261534,-199.57294636692464
95,-170.53616270984105,-178.38115496699447,-202.46320693326197,-207.44330952101217,-210.9032441308732,-169.4853357897406,-192.44181752164818,-198.8234777799678,-204.6611891146335,-200.74466908310555
96,-172.01336034693458,-179.69440809755994,-203.86107725505485,-209.62735145320087,-211.66247874421336,-170.2320096174525,-193.7903474345647,-200.04452524433208,-205.82445528128025,-202.0799989151027
97,-174.0363628250966,-181.2436251984993,-205.82329411278374,-211.52453405936436,-213.55457096235796,-172.01384983280244,-195.57271799559408,-202.76308002061268,-207.16373323142582,-204.74793083861329
98,-176.20023611147067,-183.2659691035178,-208.19861193036164,-214.44741702262507,-215.93204308858762,-174.93135265984301,-197.83996292092178,-204.87697606884686,-210.31881640077077,-207.69410266550972
99,-178.49285293074243,-185.9994145413306,-211.68634366203096,-217.5787777124397,-219.02473204980936,-177.71422806240022,-201.153843002483,-208.2758367073117,-213.44483912307908,-210.25695947344087
100,-182.4078927523844,-188.9186580277522,-215.76459628902856,-221.27366483157445,-222.44145266449416,-180.71710758275208,-204.12679810137763,-212.21582663427128,-216.9330470302035,-214.05664548436488
101,-185.81043118399228,-192.59066441368938,-220.17078959636754,-224.76782679482102,-227.24179345971845,-184.34104634697647,-208.36676207429227,-216.36634353951086,-221.25308036250104,-218.55384613604085
102,-190.56982917554012,-196.88165624794425,-224.98240855624616,-229.71044513070657,-231.82362587136487,-188.45957256498147,-212.75171892043582,-220.83630870731565,-225.6919945442832,-223.4854671768644
103,-196.08589033521827,-201.43939291483477,-230.46174065682317,-234.88050593901363,-238.03283973636826,-193.83759965596371,-217.74015718606086,-225.65441799284656,-231.053409442788,-227.85998243137718
104,-201.5395365856661,-207.15956143646923,-235.85296871521646,-240.5299215417442,-245.0831611718811,-199.41960661815946,-223.4337050219172,-230.9871412093971,-237.20114528316182,-233.85758798882736
105,-207.2263021028685,-212.9304850054165,-242.2217045931246,-246.8598605185149,-251.33118127933855,-206.1020244686647,-230.04793573580963,-237.000204167358,-243.67709928739117,-239.8775960359202
106,-213.90921051967715,-218.79871493883087,-249.43688936853997,-253.60406384270186,-258.4091890882278,-212.10270845690084,-237.25928627802764,-243.61295587938338,-251.23931216917734,-247.05985405651532
107,-220.88647736028895,-225.0301876105872,-257.02776882369653,-260.84014327411853,-266.1364106289143,-219.1019350234139,-244.94583975426923,-250.37502144021104,-259.1869558587971,-254.05713782888282
108,-227.5061357378658,-232.19351707798108,-264.7117752262226,-268.1887513807891,-273.81699465425714,-226.4675496434797,-253.10961664244286,-256.90861968136363,-267.7621560945702,-260.88033813099446
109,-235.14899420355107,-239.26989176557464,-272.4743256669839,-275.77635845850966,-282.65853105314994,-233.64974719375397,-260.6298244640881,-264.4806092940472,-276.18717991606206,-269.0096862845183
110,-243.15671816523775,-247.00010971753017,-281.71319582558317,-284.03627040364404,-291.6004714688671,-241.6798591934785,-268.9160578789606,-271.905369766943,-284.8478137416016,-276.68579312191764
111,-251.48569886727944,-254.23498364972818,-290.9892032577819,-292.46582492062146,-300.6796622449793,-249.5581755049387,-277.2279231385263,-280.2553151750673,-293.7555115299115,-284.07225866843254
112,-259.14216076202456,-262.09617286682374,-299.21992344975763,-301.2180434408877,-309.541488775469,-257.65768665979726,-285.26005638547383,-288.0005439069132,-302.7958852104505,-291.57402505432816
113,-266.6868677870406,-269.13698654399866,-308.0300520536091,-309.67587984181597,-318.4051048544378,-265.63564355937245,-293.8668812688719,-295.8258872297872,-311.94897234957847,-299.21003392198793
114,-275.070026046106,-276.9681209845637,-317.1662532255494,-318.4328707726596,-327.43144457644325,-273.13409249241346,-302.0362571154816,-303.9822120836251,-320.1992214118749,-307.0853606100857
115,-282.58070827161447,-284.43526803858174,-326.3646957207432,-326.04855468235405,-336.5448169668554,-280.6194716960104,-310.23976034962845,-311.1656111262335,-329.1043925725629,-314.89251149474495
116,-289.7460262495403,-291.57142253294325,-334.9659178947515,-333.9776574953521,-345.0676858401785,-288.3006070686983,-318.0504364364391,-318.671181224912,-337.7550304219692,-322.5232549519308
117,-296.71480582436016,-298.73144147175674,-343.90434309380134,-342.28682865665195,-353.1576295978835,-295.5976044696773,-325.77901613641643,-326.12336676401725,-346.2876163067819,-330.06959925038245
118,-304.18088882397797,-305.3092734516628,-352.605611853282,-349.76832370321574,-361.61845795987296,-302.7986426435384,-333.5279906916683,-334.1389414901156,-354.7430337460981,-338.30364404569923
119,-311.6592220183736,-312.62391397265424,-361.7714484540372,-358.01809564623596,-369.9262871642112,-310.5460617748257,-341.70268175010574,-341.531831472285,-362.96103678008035,-345.8463732641801
120,-319.6368140725529,-320.1085135725141,-369.55040879432056,-365.8469678551602,-378.1862797364678,-317.9834216787568,-349.2339755756516,-349.8006505704815,-371.2072496059603,-353.3081677147536
121,-327.088144427136,-328.10189775371003,-377.7046277731649,-373.56972169708865,-386.63419342919184,-324.74800437085764,-357.09234356162136,-357.9433423620102,-379.4502205147828,-360.44667520270343
122,-334.02171587589004,-336.04660425787506,-385.94461800049635,-380.9070565796533,-394.6875771040784,-332.2920037786426,-364.54792318850747,-365.63710536314784,-387.48713815470467,-368.00512997084746
123,-341.3398812725876,-343.6082400001251,-393.8268300505346,-388.9062416299505,-402.60800708427644,-339.6032208029975,-372.0250358514736,-374.04103587143936,-395.21660375969515,-375.2183730736122
124,-349.0661088410326,-350.70097607655526,-401.7564238311881,-396.730673462411,-410.37017709813057,-346.6749874928853,-379.12855697265263,-381.8657081070253,-403.0844573824936,-382.2813605395984
125,-356.5503131225565,-357.6939892139618,-410.12520924573624,-405.3732285177952,-418.677795405879,-353.89752325184827,-386.2910062068406,-389.72873651060667,-411.09352468170965,-389.4655378850823
126,-364.47449305887875,-364.91839208458435,-419.2052884920956,-413.84253613966877,-426.38156798190107,-360.9272966215738,-393.79072927099867,-397.7193240947869,-419.57803337051143,-397.0081566506898
127,-372.21526551373813,-372.30328840544666,-427.823753027043,-421.61770768597637,-434.6659774437221,-368.77536509806396,-401.0672257327464,-405.41472808839495,-427.728078425003,-404.77035069890263
128,-378.9598677242968,-380.2024952791884,-436.61594054632667,-429.71191591703825,-442.76037376660855,-376.55471626177444,-408.0612071430592,-412.88933435731855,-435.6661410047409,-412.44288744102056
129,-386.788860359288,-387.6907531586072,-445.39210152717476,-437.4742031748224,-450.61090779340736,-383.74874930615806,-415.546002675554,-421.32862070615937,-443.07305607453253,-419.2316442855365
130,-394.2308977342583,-395.17288581170556,-453.758019021359,-445.70557001088486,-458.82424833062936,-391.67211678900725,-422.6879566204869,-429.61624150926656,-450.91082275658255,-426.5468722995645
131,-401.29965259246694,-401.98430520225804,-462.4574463263903,-453.29076924058177,-467.25505764894484,-399.00759055411453,-430.4146971275157,-437.66951489269354,-458.84458490701263,-433.5667168921528
132,-408.53555118168003,-409.2322841475359,-470.7461944017837,-460.8772963868237,-475.3384698305463,-406.28102617799595,-438.18034663766593,-445.80512835062166,-466.01321075608746,-440.30406954158656
133,-416.041395836938,-416.5387847531564,-478.9847219515688,-468.51516044397147,-483.6698602964036,-413.6200031809844,-445.83951784500175,-453.6595593162689,-474.35940588970993,-447.72517038528804
134,-423.18261662816127,-423.82507167478184,-487.47320538688655,-476.037640823127,-491.4612912294932,-421.3557659437629,-453.94756927681726,-461.15357623004957,-482.55269300771556,-455.4137551156408
135,-430.5330654982552,-430.8612600114202,-496.20644296142865,-484.3001819984937,-499.2973933769753,-428.63066556133293,-462.2678475972215,-469.0122292857046,-490.1704756978319,-462.5309735581829
136,-438.58010781339385,-438.5972892648236,-504.94846094330904,-492.9032571036256,-507.76424378112074,-435.66627133691117,-470.01807886634646,-476.75663817860556,-498.48074585411933,-470.5741779508956
137,-446.73385694666564,-446.0976668807725,-514.4557243176124,-501.38577540409887,-515.8661835664643,-444.03627621325717,-477.90277633930674,-484.2135211846953,-506.5743604218759,-478.15072583357755
138,-454.62496286285585,-453.8697737690146,-524.3825047936423,-510.22153209688275,-524.4747024976534,-452.9147303891895,-485.9722213240897,-491.39848923345926,-514.7218750892974,-486.2070597589445
139,-462.52594142077936,-461.376763594232,-533.7546956650127,-519.7477637893594,-533.0114110923105,-461.6502469167304,-493.74269070978494,-499.36171892433174,-523.2890395144842,-494.43046984265965
140,-470.9626438946412,-469.4817744163097,-542.886080955587,-529.3304242674923,-541.4282219375804,-469.41962419508536,-501.05541337297,-507.22017312647205,-532.3847203487313,-501.4424466006514
141,-478.7113525158967,-477.5921992599544,-551.7964094741018,-536.9277671497839,-550.5989915691291,-476.36570835849005,-508.55438937411583,-516.0003100163,-541.6458562333726,-508.64525067440854
142,-485.33178778358706,-485.8972410312982,-559.9820258209453,-545.4299842682942,-560.3126964716974,-482.5851799489765,-515.7905442088902,-524.0812361273182,-549.7429749420688,-517.0383384661163
143,-491.31332662344437,-493.05358385202874,-568.8096779433614,-552.9961631982213,-570.1383217765582,-489.538423613123,-523.7789447816874,-531.6628855558258,-557.766922553465,-524.038768533855
144,-498.07720839265414,-501.3905980015966,-576.6461705751348,-560.1759586569299,-579.3031504148912,-495.75386623685847,-531.5471255295301,-539.104859793051,-565.550519429776,-530.4927720980727
145,-504.22752191672504,-508.14655536673445,-583.3321926368635,-565.9977687838252,-587.7443926784329,-501.66086341662736,-538.0409352459567,-546.0857370775256,-573.4720519963332,-536.8563198456714
146,-510.32550084207065,-513.8899797335627,-589.619506764237,-572.1443939656543,-595.5160833182046,-507.24463989226126,-544.7385149655244,-552.5337569114291,-579.8483014790388,-542.3340923968651
147,-515.354527100485,-518.9977805254587,-596.0822086936271,-577.9281665064848,-603.0415366632317,-511.88748118585374,-551.0931777295582,-558.4332519852323,-585.2428966444938,-546.7498793635943
148,-520.1720690408416,-524.0901884932617,-601.293608080648,-582.4493129809931,-609.5545292623153,-515.6359143995719,-557.3892435183622,-565.4142188314781,-591.261832091184,-550.8322120290366
149,-522.9426030578808,-528.379952007858,-606.5130314621423,-586.3114143920006,-614.9244731053252,-518.6655415348374,-563.5257064253486,-572.0877254840512,-596.9798371379269,-553.8168710073943
150,-526.3713988680278,-531.4005681391913,-610.1070291697913,-589.2722209703586,-620.2101544218092,-520.1634003079159,-568.8904190742547,-578.4496329149662,-601.685826918349,-558.5413894774508
